"Country","iso3","Region","Income","Year","GDP","Unemployment","Inflation","LifeExp","LaborForce","Continent","COVID"
"Algeria","DZA","Middle East & North Africa","Upper middle income",2018,4717.0035885361,12.137,4.26999020467083,75.555,42.266,"Africa","Pre-2020"
"Algeria","DZA","Middle East & North Africa","Upper middle income",2023,4660.40545687895,11.701,9.32217375928319,76.261,41.144,"Africa","Post-2020"
"Algeria","DZA","Middle East & North Africa","Upper middle income",2015,4685.05902729002,11.206,4.78444700693894,75.159,42.453,"Africa","Pre-2020"
"Algeria","DZA","Middle East & North Africa","Upper middle income",2016,4768.73140081027,10.202,6.39769480268751,75.31,42.326,"Africa","Pre-2020"
"Algeria","DZA","Middle East & North Africa","Upper middle income",2019,4672.66408678635,12.259,1.95176821052892,75.682,42.182,"Africa","Pre-2020"
"Algeria","DZA","Middle East & North Africa","Upper middle income",2020,4363.68533767783,14.057,2.41513094083414,73.257,39.552,"Africa","Post-2020"
"Algeria","DZA","Middle East & North Africa","Upper middle income",2017,4742.90075532529,12,5.5911159096167,75.431,42.313,"Africa","Pre-2020"
"Algeria","DZA","Middle East & North Africa","Upper middle income",2022,4544.46688060372,12.346,9.26551551551555,76.129,41.398,"Africa","Post-2020"
"Algeria","DZA","Middle East & North Africa","Upper middle income",2021,4456.74687637774,13.63,7.22606307415475,75.208,39.852,"Africa","Post-2020"
"American Samoa","ASM","East Asia & Pacific","High income",2016,12665.2829921268,NA,NA,72.64,NA,"Oceania","Pre-2020"
"American Samoa","ASM","East Asia & Pacific","High income",2018,12412.6024074562,NA,NA,72.794,NA,"Oceania","Pre-2020"
"American Samoa","ASM","East Asia & Pacific","High income",2020,13194.274740128,NA,NA,72.672,NA,"Oceania","Post-2020"
"American Samoa","ASM","East Asia & Pacific","High income",2022,13709.0974895473,NA,NA,72.752,NA,"Oceania","Post-2020"
"American Samoa","ASM","East Asia & Pacific","High income",2015,12727.4102651386,NA,NA,72.654,NA,"Oceania","Pre-2020"
"American Samoa","ASM","East Asia & Pacific","High income",2019,12524.0160252283,NA,NA,72.751,NA,"Oceania","Pre-2020"
"American Samoa","ASM","East Asia & Pacific","High income",2021,13233.5784817341,NA,NA,72.708,NA,"Oceania","Post-2020"
"American Samoa","ASM","East Asia & Pacific","High income",2017,11930.7771236826,NA,NA,72.801,NA,"Oceania","Pre-2020"
"Andorra","AND","Europe & Central Asia","High income",2022,39780.3966116268,NA,NA,84.016,NA,"Europe","Post-2020"
"Andorra","AND","Europe & Central Asia","High income",2023,40227.2335282714,NA,NA,84.041,NA,"Europe","Post-2020"
"Andorra","AND","Europe & Central Asia","High income",2016,40085.0205971586,NA,NA,84.489,NA,"Europe","Pre-2020"
"Andorra","AND","Europe & Central Asia","High income",2020,34536.6499209948,NA,NA,79.418,NA,"Europe","Post-2020"
"Andorra","AND","Europe & Central Asia","High income",2018,39242.1448960772,NA,NA,84.242,NA,"Europe","Pre-2020"
"Andorra","AND","Europe & Central Asia","High income",2015,38654.9347203095,NA,NA,84.532,NA,"Europe","Pre-2020"
"Andorra","AND","Europe & Central Asia","High income",2021,36929.0191515162,NA,NA,82.331,NA,"Europe","Post-2020"
"Andorra","AND","Europe & Central Asia","High income",2017,39361.0622634329,NA,NA,84.359,NA,"Europe","Pre-2020"
"Andorra","AND","Europe & Central Asia","High income",2019,39346.2750344286,NA,NA,84.098,NA,"Europe","Pre-2020"
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2021,2385.44881834294,15.799,25.7542948841891,62.958,76.372,"Africa","Post-2020"
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2018,2775.74642272991,16.594,19.6289379701521,62.622,75.316,"Africa","Pre-2020"
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2023,2334.66104267184,14.537,13.6441017767715,64.617,75.75,"Africa","Post-2020"
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2019,2664.43850995544,16.497,17.080954143438,63.051,75.021,"Africa","Pre-2020"
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2022,2382.02263952585,14.602,21.3552901320822,64.246,75.615,"Africa","Post-2020"
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2017,2911.60084214038,16.61,29.8444799015679,62.122,75.609,"Africa","Pre-2020"
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2016,3020.98332805417,16.575,30.6944150806719,61.619,75.899,"Africa","Pre-2020"
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2015,3213.90261080059,16.49,9.35597215533781,61.042,76.187,"Africa","Pre-2020"
"Angola","AGO","Sub-Saharan Africa","Lower middle income",2020,2433.37637275564,16.69,22.271539247051,63.116,74.729,"Africa","Post-2020"
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2018,18042.1596435727,NA,1.20715793367006,77.132,NA,"Americas","Pre-2020"
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2017,16992.9327495236,NA,2.43248789041367,77.03,NA,"Americas","Pre-2020"
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2016,16635.895232831,NA,-0.489437796230531,76.968,NA,"Americas","Pre-2020"
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2015,16077.6340769406,NA,0.968993458825594,76.892,NA,"Americas","Pre-2020"
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2023,17789.4058123944,NA,5.06713865364216,77.598,NA,"Americas","Post-2020"
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2021,16084.7214406048,NA,2.06299638545329,77.197,NA,"Americas","Post-2020"
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2022,17456.8722243104,NA,7.53107834634287,77.483,NA,"Americas","Post-2020"
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2020,14950.8942397208,NA,0.625989707046714,77.161,NA,"Americas","Post-2020"
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income",2019,18525.2588907167,NA,1.43135598182988,77.168,NA,"Americas","Pre-2020"
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2016,13265.8860639123,8.085,64.0282824252507,76.105,59.02,"Americas","Pre-2020"
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2017,13520.1129846159,8.347,64.0282824252507,76.543,58.808,"Americas","Pre-2020"
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2020,11393.0505957877,11.461,42.0150947376509,75.878,56.023,"Americas","Post-2020"
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2018,13058.3285449954,9.22,34.2772237131003,76.77,59.595,"Americas","Pre-2020"
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2019,12706.3978108968,9.843,53.5483043492339,76.847,60.289,"Americas","Pre-2020"
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2015,13679.6264980954,7.579,64.0282824252507,76.6,59.232,"Americas","Pre-2020"
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2021,12549.2811699342,8.736,48.4093786255199,73.948,60.358,"Americas","Post-2020"
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2022,13182.7933950725,6.805,72.430757531824,75.806,61.484,"Americas","Post-2020"
"Argentina","ARG","Latin America & Caribbean","Upper middle income",2023,12933.2497342121,6.139,133.488935594175,77.395,62.286,"Americas","Post-2020"
"Armenia","ARM","Europe & Central Asia","Upper middle income",2017,3815.3747426037,17.704,0.969553268816178,75.2170731707317,62.013,"Asia","Pre-2020"
"Armenia","ARM","Europe & Central Asia","Upper middle income",2015,3512.39350276709,18.261,3.73169119261694,74.8707317073171,61.886,"Asia","Pre-2020"
"Armenia","ARM","Europe & Central Asia","Upper middle income",2020,4032.09043454955,18.175,1.2114357783847,73.3756097560976,62.452,"Asia","Post-2020"
"Armenia","ARM","Europe & Central Asia","Upper middle income",2016,3533.88503607007,17.617,-1.40360755900904,74.8682926829268,62.016,"Asia","Pre-2020"
"Armenia","ARM","Europe & Central Asia","Upper middle income",2019,4343.45839583019,18.304,1.44344660770699,76.2219512195122,63.176,"Asia","Pre-2020"
"Armenia","ARM","Europe & Central Asia","Upper middle income",2023,5197.23509013575,13.245,1.98041877615558,77.4658536585366,62.033,"Asia","Post-2020"
"Armenia","ARM","Europe & Central Asia","Upper middle income",2018,4027.83393010979,18.966,2.52023382001632,75.619512195122,61.981,"Asia","Pre-2020"
"Armenia","ARM","Europe & Central Asia","Upper middle income",2022,4791.00481712183,13.379,8.64091108973852,74.7658536585366,62.208,"Asia","Post-2020"
"Armenia","ARM","Europe & Central Asia","Upper middle income",2021,4264.79961505187,15.469,7.18483629443367,72.2780487804878,63.149,"Asia","Post-2020"
"Aruba","ABW","Latin America & Caribbean","High income",2022,29917.1280287045,NA,1.27975785590536,76.226,NA,"Americas","Post-2020"
"Aruba","ABW","Latin America & Caribbean","High income",2018,30334.1162224308,NA,3.62604141352957,75.88,NA,"Americas","Pre-2020"
"Aruba","ABW","Latin America & Caribbean","High income",2015,27458.2253310273,NA,0.474763597342611,75.405,NA,"Americas","Pre-2020"
"Aruba","ABW","Latin America & Caribbean","High income",2021,27469.0056215511,NA,1.27975785590536,73.655,NA,"Americas","Post-2020"
"Aruba","ABW","Latin America & Caribbean","High income",2020,21947.9953301189,NA,1.27975785590536,75.406,NA,"Americas","Post-2020"
"Aruba","ABW","Latin America & Caribbean","High income",2017,29671.13582858,NA,-1.02828178762003,75.62,NA,"Americas","Pre-2020"
"Aruba","ABW","Latin America & Caribbean","High income",2019,29576.8097145074,NA,4.25746204335427,76.019,NA,"Americas","Pre-2020"
"Aruba","ABW","Latin America & Caribbean","High income",2023,31178.473678762,NA,1.27975785590536,76.353,NA,"Americas","Post-2020"
"Aruba","ABW","Latin America & Caribbean","High income",2016,27719.5007310796,NA,-0.931195987079601,75.54,NA,"Americas","Pre-2020"
"Australia","AUS","East Asia & Pacific","High income",2017,57750.6482221688,5.592,1.94864740944521,82.5,65.248,"Oceania","Pre-2020"
"Australia","AUS","East Asia & Pacific","High income",2023,61598.1776089916,3.668,5.59701492537313,83.0512195121951,66.784,"Oceania","Post-2020"
"Australia","AUS","East Asia & Pacific","High income",2018,58530.7821697117,5.3,1.91140094445694,82.7487804878049,65.715,"Oceania","Pre-2020"
"Australia","AUS","East Asia & Pacific","High income",2015,56739.0265346593,6.055,1.5083667216592,82.4,65.076,"Oceania","Pre-2020"
"Australia","AUS","East Asia & Pacific","High income",2016,57401.0662268939,5.711,1.2769909449733,82.4487804878049,64.952,"Oceania","Pre-2020"
"Australia","AUS","East Asia & Pacific","High income",2021,59276.503107197,5.116,2.86391042204996,83.3,65.965,"Oceania","Post-2020"
"Australia","AUS","East Asia & Pacific","High income",2019,58924.733646242,5.159,1.6107678729038,82.9,66.012,"Oceania","Pre-2020"
"Australia","AUS","East Asia & Pacific","High income",2020,58132.798523626,6.456,0.846905537459283,83.2,65.104,"Oceania","Post-2020"
"Australia","AUS","East Asia & Pacific","High income",2022,61009.8077147403,3.728,6.59409671341846,83.2,66.703,"Oceania","Post-2020"
"Austria","AUT","Europe & Central Asia","High income",2018,45951.5819164034,4.933,1.99837981429547,81.6926829268293,60.919,"Europe","Pre-2020"
"Austria","AUT","Europe & Central Asia","High income",2015,43915.228020857,5.802,0.896563335260335,81.190243902439,60.224,"Europe","Pre-2020"
"Austria","AUT","Europe & Central Asia","High income",2016,44362.6702805116,6.064,0.891591752655315,81.6414634146342,60.696,"Europe","Pre-2020"
"Austria","AUT","Europe & Central Asia","High income",2017,45056.6385912412,5.561,2.08126911385585,81.6439024390244,60.665,"Europe","Pre-2020"
"Austria","AUT","Europe & Central Asia","High income",2022,47250.9695999523,4.992,8.54686993188449,81.2951219512195,60.882,"Europe","Post-2020"
"Austria","AUT","Europe & Central Asia","High income",2023,46338.9570588922,5.264,7.81413417002833,81.5414634146342,60.853,"Europe","Post-2020"
"Austria","AUT","Europe & Central Asia","High income",2019,46550.5622459492,4.56,1.53089564152644,81.8951219512195,60.898,"Europe","Pre-2020"
"Austria","AUT","Europe & Central Asia","High income",2021,45313.3988964964,6.459,2.7666666666667,81.190243902439,60.631,"Europe","Post-2020"
"Austria","AUT","Europe & Central Asia","High income",2020,43428.6983137234,5.201,1.38191063351859,81.1926829268293,60.364,"Europe","Post-2020"
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2017,5229.25259747579,5,12.9359184187335,72.694,65.038,"Asia","Pre-2020"
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2015,5500.50364628486,4.96,4.02768573742726,72.349,63.537,"Asia","Pre-2020"
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2016,5272.71816973266,5,12.4433748584372,72.568,64.652,"Asia","Pre-2020"
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2019,5346.95319282755,5,2.61057182799215,73.29,65.218,"Asia","Pre-2020"
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2018,5261.92938170171,4.9,2.26854690373999,73.016,65.399,"Asia","Pre-2020"
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2021,5349.5822595965,6.04,6.65029912708779,70.999,62.166,"Asia","Post-2020"
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2020,5087.50022691293,7.24,2.75980947008127,70.312,67.223,"Asia","Post-2020"
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2023,5668.61020477202,5.636,8.78543049849081,74.429,63.537,"Asia","Post-2020"
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2022,5599.58525100539,5.65,13.8522590144267,74.125,64.018,"Asia","Post-2020"
"Bahamas, The","BHS","Latin America & Caribbean","High income",2018,31537.4437497052,10,2.26586346678732,74.062,72.684,"Americas","Pre-2020"
"Bahamas, The","BHS","Latin America & Caribbean","High income",2017,30974.774621871,9.8,1.51820700736147,74.031,72.534,"Americas","Pre-2020"
"Bahamas, The","BHS","Latin America & Caribbean","High income",2019,31117.6825430577,9.336,2.49123527368049,71.408,72.711,"Americas","Pre-2020"
"Bahamas, The","BHS","Latin America & Caribbean","High income",2023,33009.8743188408,8.643,3.05291578969747,74.552,72.178,"Americas","Post-2020"
"Bahamas, The","BHS","Latin America & Caribbean","High income",2016,30152.2354644699,12.7,-0.346376929989347,74.042,72.417,"Americas","Pre-2020"
"Bahamas, The","BHS","Latin America & Caribbean","High income",2021,29114.2279448407,11.032,2.90491262928485,70.752,70.098,"Americas","Post-2020"
"Bahamas, The","BHS","Latin America & Caribbean","High income",2022,32186.513975715,9.272,5.60540633583038,74.491,72.038,"Americas","Post-2020"
"Bahamas, The","BHS","Latin America & Caribbean","High income",2015,30719.405417469,12,1.86148302863365,73.805,72.428,"Americas","Pre-2020"
"Bahamas, The","BHS","Latin America & Caribbean","High income",2020,24791.6538067733,12.027,0.0385210980054084,72.994,68.402,"Americas","Post-2020"
"Bahrain","BHR","Middle East & North Africa","High income",2023,25342.6226641572,1.154,0.0746206782191527,81.284,70.878,"Asia","Post-2020"
"Bahrain","BHR","Middle East & North Africa","High income",2022,25234.40256182,1.326,3.62574104304489,80.992,70.41,"Asia","Post-2020"
"Bahrain","BHR","Middle East & North Africa","High income",2015,23734.0551143019,1.16,1.8486274237498,80.338,71.359,"Asia","Pre-2020"
"Bahrain","BHR","Middle East & North Africa","High income",2019,24873.6640060134,1.223,1.00582004702132,80.471,71.579,"Asia","Pre-2020"
"Bahrain","BHR","Middle East & North Africa","High income",2020,23586.9309581516,1.781,-2.31770629331375,78.683,69.585,"Asia","Post-2020"
"Bahrain","BHR","Middle East & North Africa","High income",2016,23715.2791328712,1.192,2.78679347602043,80.407,71.975,"Asia","Pre-2020"
"Bahrain","BHR","Middle East & North Africa","High income",2018,24059.7838641562,1.2,2.08766938046983,80.412,72.115,"Asia","Pre-2020"
"Bahrain","BHR","Middle East & North Africa","High income",2021,24086.7847803428,1.541,-0.606319385140878,78.083,69.213,"Asia","Post-2020"
"Bahrain","BHR","Middle East & North Africa","High income",2017,23606.8867501313,1.194,1.38671830576399,80.407,72.322,"Asia","Pre-2020"
"Bangladesh","BGD","South Asia","Lower middle income",2019,1564.20802445636,4.441,5.59199639930633,72.625,59.511,"Asia","Pre-2020"
"Bangladesh","BGD","South Asia","Lower middle income",2018,1462.25050255713,4.407,5.54362139486472,72.122,58.936,"Asia","Pre-2020"
"Bangladesh","BGD","South Asia","Lower middle income",2015,1224.38647668165,4.396,6.19428022984985,70.543,56.454,"Asia","Pre-2020"
"Bangladesh","BGD","South Asia","Lower middle income",2016,1299.83091360792,4.35,5.51352572692994,71.075,56.09,"Asia","Pre-2020"
"Bangladesh","BGD","South Asia","Lower middle income",2021,1702.08028414189,5.327,5.54565430773475,71.103,61.184,"Asia","Post-2020"
"Bangladesh","BGD","South Asia","Lower middle income",2017,1373.75363740186,4.372,5.70207015717244,71.606,58.328,"Asia","Pre-2020"
"Bangladesh","BGD","South Asia","Lower middle income",2020,1604.6659234742,5.436,5.69107474746208,71.421,59.852,"Asia","Post-2020"
"Bangladesh","BGD","South Asia","Lower middle income",2022,1804.3493461776,4.593,7.69695437176898,74.265,61.873,"Asia","Post-2020"
"Bangladesh","BGD","South Asia","Lower middle income",2023,1885.37733613545,4.454,9.88350303779208,74.672,61.736,"Asia","Post-2020"
"Barbados","BRB","Latin America & Caribbean","High income",2018,18974.8571786909,8.322,3.67381410406796,76.378,65.706,"Americas","Pre-2020"
"Barbados","BRB","Latin America & Caribbean","High income",2017,19237.287488428,8.622,4.66018463955998,76.237,66.151,"Americas","Pre-2020"
"Barbados","BRB","Latin America & Caribbean","High income",2016,19251.9834223357,8.247,1.28192813061895,76.168,66.065,"Americas","Pre-2020"
"Barbados","BRB","Latin America & Caribbean","High income",2020,16166.6559507829,9.777,3.73258289426439,76.647,63.807,"Americas","Post-2020"
"Barbados","BRB","Latin America & Caribbean","High income",2022,18959.3351638653,8.365,3.73258289426439,75.676,63.305,"Americas","Post-2020"
"Barbados","BRB","Latin America & Caribbean","High income",2021,16099.7749737734,9.433,3.73258289426439,76.58,63.913,"Americas","Post-2020"
"Barbados","BRB","Latin America & Caribbean","High income",2019,19064.9975884863,8.412,4.10028964518462,76.495,64.905,"Americas","Pre-2020"
"Barbados","BRB","Latin America & Caribbean","High income",2015,18954.2913724506,9.803,-1.11278992510965,76.055,65.433,"Americas","Pre-2020"
"Barbados","BRB","Latin America & Caribbean","High income",2023,19734.2380260921,7.878,9.79207077126447,76.178,63.368,"Americas","Post-2020"
"Belarus","BLR","Europe & Central Asia","Upper middle income",2022,6206.61909735439,3.574,15.209675274081,74.1033658536585,64.021,"Europe","Post-2020"
"Belarus","BLR","Europe & Central Asia","Upper middle income",2023,6497.78450735958,3.461,5.00059903091313,74.1837804878049,63.504,"Europe","Post-2020"
"Belarus","BLR","Europe & Central Asia","Upper middle income",2017,5964.89668930991,5.648,6.03183725177786,74.1292682926829,64.462,"Europe","Pre-2020"
"Belarus","BLR","Europe & Central Asia","Upper middle income",2016,5811.20159245258,5.844,11.8365807653496,73.8268292682927,64.367,"Europe","Pre-2020"
"Belarus","BLR","Europe & Central Asia","Upper middle income",2015,5967.05595058777,5.881,13.5344897649735,73.6243902439025,64.253,"Europe","Pre-2020"
"Belarus","BLR","Europe & Central Asia","Upper middle income",2021,6457.73053774952,3.9,9.46028389623105,72.0714634146342,63.999,"Europe","Post-2020"
"Belarus","BLR","Europe & Central Asia","Upper middle income",2018,6165.91320184691,4.763,4.8723022055069,74.1756097560976,64.393,"Europe","Pre-2020"
"Belarus","BLR","Europe & Central Asia","Upper middle income",2019,6267.7350887999,4.165,5.59815595039853,74.2268292682927,64.231,"Europe","Pre-2020"
"Belarus","BLR","Europe & Central Asia","Upper middle income",2020,6251.98898903127,4.049,5.54814357456511,72.1385609756098,64.006,"Europe","Post-2020"
"Belgium","BEL","Europe & Central Asia","High income",2023,44722.1955283977,5.528,4.04901077613945,82.3975609756098,54.397,"Europe","Post-2020"
"Belgium","BEL","Europe & Central Asia","High income",2021,43121.9429709785,6.248,2.44024851144083,81.790243902439,54.048,"Europe","Post-2020"
"Belgium","BEL","Europe & Central Asia","High income",2022,44596.7859981166,5.57,9.59751172872501,81.7487804878049,54.575,"Europe","Post-2020"
"Belgium","BEL","Europe & Central Asia","High income",2016,41172.8862831209,7.83,1.97385264653175,81.4390243902439,53.164,"Europe","Pre-2020"
"Belgium","BEL","Europe & Central Asia","High income",2017,41619.328629169,7.09,2.12597086002608,81.4926829268293,53.336,"Europe","Pre-2020"
"Belgium","BEL","Europe & Central Asia","High income",2020,40769.0218072962,5.545,0.740791812220353,80.6951219512195,53.382,"Europe","Post-2020"
"Belgium","BEL","Europe & Central Asia","High income",2019,43006.4042308863,5.364,1.4368195699643,81.9951219512195,53.896,"Europe","Pre-2020"
"Belgium","BEL","Europe & Central Asia","High income",2015,40893.804537772,8.482,0.561429152790087,80.9926829268293,53.369,"Europe","Pre-2020"
"Belgium","BEL","Europe & Central Asia","High income",2018,42208.3625650272,5.941,2.05316499865184,81.5951219512195,53.669,"Europe","Pre-2020"
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2021,5824.30394264153,10.322,3.23563659237068,70.917,61.821,"Americas","Post-2020"
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2023,6212.26051785042,8.267,4.38984017487678,73.566,62.105,"Americas","Post-2020"
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2018,5729.21045186202,7.896,0.269982622646363,72.322,66.942,"Americas","Pre-2020"
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2015,6154.49593498217,7.578,-0.86158400942767,71.647,63.872,"Americas","Pre-2020"
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2019,5886.9622354935,9.053,0.187069385181459,72.577,69.726,"Americas","Pre-2020"
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2020,5003.87784847193,10.784,0.121434644614868,71.58,64.449,"Americas","Post-2020"
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2017,5772.92692023491,6.596,1.14765339305811,72.062,64.034,"Americas","Pre-2020"
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2016,6016.49646985703,7,0.663427167917562,71.843,64.25,"Americas","Pre-2020"
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2022,6269.37997445105,8.763,6.27689319447547,72.19,61.975,"Americas","Post-2020"
"Benin","BEN","Sub-Saharan Africa","Lower middle income",2020,1126.65404122154,1.502,3.02272119663757,60.154,74.791,"Africa","Post-2020"
"Benin","BEN","Sub-Saharan Africa","Lower middle income",2022,1218.49668929091,1.685,1.35077863583529,60.475,75.784,"Africa","Post-2020"
"Benin","BEN","Sub-Saharan Africa","Lower middle income",2023,1263.62158336368,1.657,2.73870078406076,60.774,75.591,"Africa","Post-2020"
"Benin","BEN","Sub-Saharan Africa","Lower middle income",2015,1002.41886879614,1.82,0.218785923536209,59.123,73.519,"Africa","Pre-2020"
"Benin","BEN","Sub-Saharan Africa","Lower middle income",2018,1071.50452156932,1.41,0.919170717886098,59.71,74.707,"Africa","Pre-2020"
"Benin","BEN","Sub-Saharan Africa","Lower middle income",2017,1032.90471194182,1.659,0.0432648555103161,59.528,74.315,"Africa","Pre-2020"
"Benin","BEN","Sub-Saharan Africa","Lower middle income",2019,1114.17304526443,1.214,0.732849371241047,59.888,75.095,"Africa","Pre-2020"
"Benin","BEN","Sub-Saharan Africa","Lower middle income",2016,1006.03926633023,1.784,-0.79331014578558,59.283,73.919,"Africa","Pre-2020"
"Benin","BEN","Sub-Saharan Africa","Lower middle income",2021,1176.37727637273,1.779,1.73353962694033,59.61,75.987,"Africa","Post-2020"
"Bermuda","BMU","North America","High income",2021,103134.729483915,NA,NA,81.745,NA,"Americas","Post-2020"
"Bermuda","BMU","North America","High income",2016,104190.876720334,NA,NA,80.476,NA,"Americas","Pre-2020"
"Bermuda","BMU","North America","High income",2017,107734.608357327,NA,NA,80.686,NA,"Americas","Pre-2020"
"Bermuda","BMU","North America","High income",2023,115124.71719745,NA,NA,82.309,NA,"Americas","Post-2020"
"Bermuda","BMU","North America","High income",2018,106843.163739391,NA,NA,80.986,NA,"Americas","Pre-2020"
"Bermuda","BMU","North America","High income",2022,109642.671877743,NA,NA,82.062,NA,"Americas","Post-2020"
"Bermuda","BMU","North America","High income",2015,104855.366822135,NA,NA,80.338,NA,"Americas","Pre-2020"
"Bermuda","BMU","North America","High income",2020,98999.5076617935,NA,NA,81.456,NA,"Americas","Post-2020"
"Bermuda","BMU","North America","High income",2019,106709.881238843,NA,NA,81.251,NA,"Americas","Pre-2020"
"Bhutan","BTN","South Asia","Lower middle income",2023,3488.84449072501,3.126,4.22934419929255,72.975,64.994,"Asia","Post-2020"
"Bhutan","BTN","South Asia","Lower middle income",2021,3206.20366997254,4.803,7.3468144053353,72.448,69.094,"Asia","Post-2020"
"Bhutan","BTN","South Asia","Lower middle income",2015,2954.04081911097,2.45,4.54814395082206,70.797,63.14,"Asia","Pre-2020"
"Bhutan","BTN","South Asia","Lower middle income",2017,3211.80903275593,3.016,4.95508366985128,71.413,62.782,"Asia","Pre-2020"
"Bhutan","BTN","South Asia","Lower middle income",2016,3173.36773217431,2.705,3.21988689395717,71.119,62.961,"Asia","Pre-2020"
"Bhutan","BTN","South Asia","Lower middle income",2022,3349.73309632799,5.947,5.63916671396366,72.754,63.094,"Asia","Post-2020"
