"Country","iso3","Region","Income","Year","GDP","Unemployment","Inflation","LifeExp","LaborForce","Continent","COVID","logGDP"
"Aruba","ABW","Latin America & Caribbean","High income",2021,27469.0056215511,NA,1.27975785590536,73.655,NA,"Americas","Post-2020",10.2208499837326
"Aruba","ABW","Latin America & Caribbean","High income",2020,21947.9953301189,NA,1.27975785590536,75.406,NA,"Americas","Post-2020",9.99647664661839
"Aruba","ABW","Latin America & Caribbean","High income",2017,29671.13582858,NA,-1.02828178762003,75.62,NA,"Americas","Pre-2020",10.2979636968275
"Aruba","ABW","Latin America & Caribbean","High income",2019,29576.8097145074,NA,4.25746204335427,76.019,NA,"Americas","Pre-2020",10.2947796873605
"Aruba","ABW","Latin America & Caribbean","High income",2023,31178.473678762,NA,1.27975785590536,76.353,NA,"Americas","Post-2020",10.3475152623783
"Aruba","ABW","Latin America & Caribbean","High income",2016,27719.5007310796,NA,-0.931195987079601,75.54,NA,"Americas","Pre-2020",10.2299275170325
"Australia","AUS","East Asia & Pacific","High income",2017,57750.6482221688,5.592,1.94864740944521,82.5,65.248,"Oceania","Pre-2020",10.9639071686204
"Australia","AUS","East Asia & Pacific","High income",2023,61598.1776089916,3.668,5.59701492537313,83.0512195121951,66.784,"Oceania","Post-2020",11.0284037989291
"Australia","AUS","East Asia & Pacific","High income",2018,58530.7821697117,5.3,1.91140094445694,82.7487804878049,65.715,"Oceania","Pre-2020",10.9773251706464
"Australia","AUS","East Asia & Pacific","High income",2015,56739.0265346593,6.055,1.5083667216592,82.4,65.076,"Oceania","Pre-2020",10.9462351760162
"Australia","AUS","East Asia & Pacific","High income",2016,57401.0662268939,5.711,1.2769909449733,82.4487804878049,64.952,"Oceania","Pre-2020",10.957835578644
"Australia","AUS","East Asia & Pacific","High income",2021,59276.503107197,5.116,2.86391042204996,83.3,65.965,"Oceania","Post-2020",10.9899851387589
"Australia","AUS","East Asia & Pacific","High income",2019,58924.733646242,5.159,1.6107678729038,82.9,66.012,"Oceania","Pre-2020",10.9840331782358
"Australia","AUS","East Asia & Pacific","High income",2020,58132.798523626,6.456,0.846905537459283,83.2,65.104,"Oceania","Post-2020",10.9705025038835
"Australia","AUS","East Asia & Pacific","High income",2022,61009.8077147403,3.728,6.59409671341846,83.2,66.703,"Oceania","Post-2020",11.0188063031132
"Austria","AUT","Europe & Central Asia","High income",2018,45951.5819164034,4.933,1.99837981429547,81.6926829268293,60.919,"Europe","Pre-2020",10.7353653158985
"Austria","AUT","Europe & Central Asia","High income",2015,43915.228020857,5.802,0.896563335260335,81.190243902439,60.224,"Europe","Pre-2020",10.6900391895457
"Austria","AUT","Europe & Central Asia","High income",2016,44362.6702805116,6.064,0.891591752655315,81.6414634146342,60.696,"Europe","Pre-2020",10.7001761765564
"Austria","AUT","Europe & Central Asia","High income",2017,45056.6385912412,5.561,2.08126911385585,81.6439024390244,60.665,"Europe","Pre-2020",10.7156978067373
"Austria","AUT","Europe & Central Asia","High income",2022,47250.9695999523,4.992,8.54686993188449,81.2951219512195,60.882,"Europe","Post-2020",10.7632496167082
"Austria","AUT","Europe & Central Asia","High income",2023,46338.9570588922,5.264,7.81413417002833,81.5414634146342,60.853,"Europe","Post-2020",10.7437598713328
"Austria","AUT","Europe & Central Asia","High income",2019,46550.5622459492,4.56,1.53089564152644,81.8951219512195,60.898,"Europe","Pre-2020",10.7483158427425
"Austria","AUT","Europe & Central Asia","High income",2021,45313.3988964964,6.459,2.7666666666667,81.190243902439,60.631,"Europe","Post-2020",10.7213801174003
"Austria","AUT","Europe & Central Asia","High income",2020,43428.6983137234,5.201,1.38191063351859,81.1926829268293,60.364,"Europe","Post-2020",10.6788987790098
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2017,5229.25259747579,5,12.9359184187335,72.694,65.038,"Asia","Pre-2020",8.56221485368919
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2015,5500.50364628486,4.96,4.02768573742726,72.349,63.537,"Asia","Pre-2020",8.61277672408987
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2016,5272.71816973266,5,12.4433748584372,72.568,64.652,"Asia","Pre-2020",8.57049092781619
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2019,5346.95319282755,5,2.61057182799215,73.29,65.218,"Asia","Pre-2020",8.58446918590746
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2018,5261.92938170171,4.9,2.26854690373999,73.016,65.399,"Asia","Pre-2020",8.56844306738455
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2021,5349.5822595965,6.04,6.65029912708779,70.999,62.166,"Asia","Post-2020",8.58496066753755
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2020,5087.50022691293,7.24,2.75980947008127,70.312,67.223,"Asia","Post-2020",8.53473841522527
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2023,5668.61020477202,5.636,8.78543049849081,74.429,63.537,"Asia","Post-2020",8.64287564740483
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income",2022,5599.58525100539,5.65,13.8522590144267,74.125,64.018,"Asia","Post-2020",8.63062638037065
"Bahamas, The","BHS","Latin America & Caribbean","High income",2018,31537.4437497052,10,2.26586346678732,74.062,72.684,"Americas","Pre-2020",10.3589625171851
"Bahamas, The","BHS","Latin America & Caribbean","High income",2017,30974.774621871,9.8,1.51820700736147,74.031,72.534,"Americas","Pre-2020",10.3409607141547
"Bahamas, The","BHS","Latin America & Caribbean","High income",2019,31117.6825430577,9.336,2.49123527368049,71.408,72.711,"Americas","Pre-2020",10.3455636426615
"Bahamas, The","BHS","Latin America & Caribbean","High income",2023,33009.8743188408,8.643,3.05291578969747,74.552,72.178,"Americas","Post-2020",10.4045923109806
"Bahamas, The","BHS","Latin America & Caribbean","High income",2016,30152.2354644699,12.7,-0.346376929989347,74.042,72.417,"Americas","Pre-2020",10.3140475086522
"Bahamas, The","BHS","Latin America & Caribbean","High income",2021,29114.2279448407,11.032,2.90491262928485,70.752,70.098,"Americas","Post-2020",10.279016613361
"Bahamas, The","BHS","Latin America & Caribbean","High income",2022,32186.513975715,9.272,5.60540633583038,74.491,72.038,"Americas","Post-2020",10.379333891603
"Bahamas, The","BHS","Latin America & Caribbean","High income",2015,30719.405417469,12,1.86148302863365,73.805,72.428,"Americas","Pre-2020",10.3326823843578
"Bahamas, The","BHS","Latin America & Caribbean","High income",2020,24791.6538067733,12.027,0.0385210980054084,72.994,68.402,"Americas","Post-2020",10.1183026708032
"Bahrain","BHR","Middle East & North Africa","High income",2023,25342.6226641572,1.154,0.0746206782191527,81.284,70.878,"Asia","Post-2020",10.1402824059363
"Bahrain","BHR","Middle East & North Africa","High income",2022,25234.40256182,1.326,3.62574104304489,80.992,70.41,"Asia","Post-2020",10.1360031511662
"Bahrain","BHR","Middle East & North Africa","High income",2015,23734.0551143019,1.16,1.8486274237498,80.338,71.359,"Asia","Pre-2020",10.0747083530515
"Bahrain","BHR","Middle East & North Africa","High income",2019,24873.6640060134,1.223,1.00582004702132,80.471,71.579,"Asia","Pre-2020",10.1216050546396
"Bahrain","BHR","Middle East & North Africa","High income",2020,23586.9309581516,1.781,-2.31770629331375,78.683,69.585,"Asia","Post-2020",10.0684904601258
"Bahrain","BHR","Middle East & North Africa","High income",2016,23715.2791328712,1.192,2.78679347602043,80.407,71.975,"Asia","Pre-2020",10.0739169745704
"Bahrain","BHR","Middle East & North Africa","High income",2018,24059.7838641562,1.2,2.08766938046983,80.412,72.115,"Asia","Pre-2020",10.0883385685556
"Bahrain","BHR","Middle East & North Africa","High income",2021,24086.7847803428,1.541,-0.606319385140878,78.083,69.213,"Asia","Post-2020",10.0894601353966
"Bahrain","BHR","Middle East & North Africa","High income",2017,23606.8867501313,1.194,1.38671830576399,80.407,72.322,"Asia","Pre-2020",10.0693361195142
"Bangladesh","BGD","South Asia","Lower middle income",2019,1564.20802445636,4.441,5.59199639930633,72.625,59.511,"Asia","Pre-2020",7.35577401711609
"Bangladesh","BGD","South Asia","Lower middle income",2018,1462.25050255713,4.407,5.54362139486472,72.122,58.936,"Asia","Pre-2020",7.28841561162395
"Bangladesh","BGD","South Asia","Lower middle income",2015,1224.38647668165,4.396,6.19428022984985,70.543,56.454,"Asia","Pre-2020",7.11101156439065
"Bangladesh","BGD","South Asia","Lower middle income",2016,1299.83091360792,4.35,5.51352572692994,71.075,56.09,"Asia","Pre-2020",7.1707585035849
"Bangladesh","BGD","South Asia","Lower middle income",2021,1702.08028414189,5.327,5.54565430773475,71.103,61.184,"Asia","Post-2020",7.44019382232419
"Bangladesh","BGD","South Asia","Lower middle income",2017,1373.75363740186,4.372,5.70207015717244,71.606,58.328,"Asia","Pre-2020",7.22602982124866
"Bangladesh","BGD","South Asia","Lower middle income",2020,1604.6659234742,5.436,5.69107474746208,71.421,59.852,"Asia","Post-2020",7.38129385510599
"Bangladesh","BGD","South Asia","Lower middle income",2022,1804.3493461776,4.593,7.69695437176898,74.265,61.873,"Asia","Post-2020",7.49850939562854
"Bangladesh","BGD","South Asia","Lower middle income",2023,1885.37733613545,4.454,9.88350303779208,74.672,61.736,"Asia","Post-2020",7.54241351536374
"Barbados","BRB","Latin America & Caribbean","High income",2018,18974.8571786909,8.322,3.67381410406796,76.378,65.706,"Americas","Pre-2020",9.85092277535107
"Barbados","BRB","Latin America & Caribbean","High income",2017,19237.287488428,8.622,4.66018463955998,76.237,66.151,"Americas","Pre-2020",9.8646577123803
"Barbados","BRB","Latin America & Caribbean","High income",2016,19251.9834223357,8.247,1.28192813061895,76.168,66.065,"Americas","Pre-2020",9.86542131068579
"Barbados","BRB","Latin America & Caribbean","High income",2020,16166.6559507829,9.777,3.73258289426439,76.647,63.807,"Americas","Post-2020",9.69076797921719
"Barbados","BRB","Latin America & Caribbean","High income",2022,18959.3351638653,8.365,3.73258289426439,75.676,63.305,"Americas","Post-2020",9.85010445307183
"Barbados","BRB","Latin America & Caribbean","High income",2021,16099.7749737734,9.433,3.73258289426439,76.58,63.913,"Americas","Post-2020",9.68662268483108
"Barbados","BRB","Latin America & Caribbean","High income",2019,19064.9975884863,8.412,4.10028964518462,76.495,64.905,"Americas","Pre-2020",9.8556617965711
"Barbados","BRB","Latin America & Caribbean","High income",2015,18954.2913724506,9.803,-1.11278992510965,76.055,65.433,"Americas","Pre-2020",9.84983839963132
"Barbados","BRB","Latin America & Caribbean","High income",2023,19734.2380260921,7.878,9.79207077126447,76.178,63.368,"Americas","Post-2020",9.89016104913858
"Belarus","BLR","Europe & Central Asia","Upper middle income",2022,6206.61909735439,3.574,15.209675274081,74.1033658536585,64.021,"Europe","Post-2020",8.73353270324006
"Belarus","BLR","Europe & Central Asia","Upper middle income",2023,6497.78450735958,3.461,5.00059903091313,74.1837804878049,63.504,"Europe","Post-2020",8.7793704395295
"Belarus","BLR","Europe & Central Asia","Upper middle income",2017,5964.89668930991,5.648,6.03183725177786,74.1292682926829,64.462,"Europe","Pre-2020",8.69381464834915
"Belarus","BLR","Europe & Central Asia","Upper middle income",2016,5811.20159245258,5.844,11.8365807653496,73.8268292682927,64.367,"Europe","Pre-2020",8.66771470964483
"Belarus","BLR","Europe & Central Asia","Upper middle income",2015,5967.05595058777,5.881,13.5344897649735,73.6243902439025,64.253,"Europe","Pre-2020",8.69417651693814
"Belarus","BLR","Europe & Central Asia","Upper middle income",2021,6457.73053774952,3.9,9.46028389623105,72.0714634146342,63.999,"Europe","Post-2020",8.77318806628151
"Belarus","BLR","Europe & Central Asia","Upper middle income",2018,6165.91320184691,4.763,4.8723022055069,74.1756097560976,64.393,"Europe","Pre-2020",8.72695370027706
"Belarus","BLR","Europe & Central Asia","Upper middle income",2019,6267.7350887999,4.165,5.59815595039853,74.2268292682927,64.231,"Europe","Pre-2020",8.74332987305137
"Belarus","BLR","Europe & Central Asia","Upper middle income",2020,6251.98898903127,4.049,5.54814357456511,72.1385609756098,64.006,"Europe","Post-2020",8.74081486665599
"Belgium","BEL","Europe & Central Asia","High income",2023,44722.1955283977,5.528,4.04901077613945,82.3975609756098,54.397,"Europe","Post-2020",10.7082475616356
"Belgium","BEL","Europe & Central Asia","High income",2021,43121.9429709785,6.248,2.44024851144083,81.790243902439,54.048,"Europe","Post-2020",10.6718104539723
"Belgium","BEL","Europe & Central Asia","High income",2022,44596.7859981166,5.57,9.59751172872501,81.7487804878049,54.575,"Europe","Post-2020",10.7054394954782
"Belgium","BEL","Europe & Central Asia","High income",2016,41172.8862831209,7.83,1.97385264653175,81.4390243902439,53.164,"Europe","Pre-2020",10.6255595063041
"Belgium","BEL","Europe & Central Asia","High income",2017,41619.328629169,7.09,2.12597086002608,81.4926829268293,53.336,"Europe","Pre-2020",10.63634399586
"Belgium","BEL","Europe & Central Asia","High income",2020,40769.0218072962,5.545,0.740791812220353,80.6951219512195,53.382,"Europe","Post-2020",10.615702330699
"Belgium","BEL","Europe & Central Asia","High income",2019,43006.4042308863,5.364,1.4368195699643,81.9951219512195,53.896,"Europe","Pre-2020",10.6691275712684
"Belgium","BEL","Europe & Central Asia","High income",2015,40893.804537772,8.482,0.561429152790087,80.9926829268293,53.369,"Europe","Pre-2020",10.6187583055458
"Belgium","BEL","Europe & Central Asia","High income",2018,42208.3625650272,5.941,2.05316499865184,81.5951219512195,53.669,"Europe","Pre-2020",10.6503973371469
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2021,5824.30394264153,10.322,3.23563659237068,70.917,61.821,"Americas","Post-2020",8.66996645606688
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2023,6212.26051785042,8.267,4.38984017487678,73.566,62.105,"Americas","Post-2020",8.73444108027272
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2018,5729.21045186202,7.896,0.269982622646363,72.322,66.942,"Americas","Pre-2020",8.65350753710798
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2015,6154.49593498217,7.578,-0.86158400942767,71.647,63.872,"Americas","Pre-2020",8.72510060969953
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2019,5886.9622354935,9.053,0.187069385181459,72.577,69.726,"Americas","Pre-2020",8.6806652465793
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2020,5003.87784847193,10.784,0.121434644614868,71.58,64.449,"Americas","Post-2020",8.51816828555178
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2017,5772.92692023491,6.596,1.14765339305811,72.062,64.034,"Americas","Pre-2020",8.66110770344637
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2016,6016.49646985703,7,0.663427167917562,71.843,64.25,"Americas","Pre-2020",8.70242658301095
"Belize","BLZ","Latin America & Caribbean","Upper middle income",2022,6269.37997445105,8.763,6.27689319447547,72.19,61.975,"Americas","Post-2020",8.74359223377655
"Benin","BEN","Sub-Saharan Africa","Lower middle income",2020,1126.65404122154,1.502,3.02272119663757,60.154,74.791,"Africa","Post-2020",7.02789468397089
"Benin","BEN","Sub-Saharan Africa","Lower middle income",2022,1218.49668929091,1.685,1.35077863583529,60.475,75.784,"Africa","Post-2020",7.10619350284369
"Benin","BEN","Sub-Saharan Africa","Lower middle income",2023,1263.62158336368,1.657,2.73870078406076,60.774,75.591,"Africa","Post-2020",7.14252821282323
